Tipo via;Descrizione via;Civico;Codice via;ZD;Camere;Camere piano;Categoria;Insegna;Piani totali;Piano piano;Posti letto;Posti letto per piano;Tipo attività struture extra
VIA;GROSSI TOMMASO;1,00;105.0;1,00;106,00;0;5 STELLE;park hyatt milano;1,00;1;212,00;0;Hotel
VIA;HAJECH CAMILLO;18,00;3091.0;4,00;11,00;0;2 STELLE;la caravella;1,00;1;16,00;0;Non Specificato
VIA;HOEPLI ULRICO;6,00;190.0;1,00;109,00;109;4 STELLE;hotel de la ville;1,00;1;208,00;208;Hotel
VIA;INGEGNOLI FRANCESCO;20,00;2559.0;3,00;16,00;0;1 STELLA;hotel adelchi lambrate;1,00;1;25,00;0;Hotel
VIA;IPPODROMO;8,00;6492.0;8,00;116,00;116;2 STELLE;Non Specificato;1,00;1;232,00;232;Residence
VIA;JACOPO DELLA QUERCIA;6,00;6541.0;7,00;14,00;"3;3;3;1";2 STELLE;le quercie;4,00;"R;1;2;M";24,00;"4;5;4;3";Hotel
VIA;JOMMELLI NICCOLO';49,00;2426.0;3,00;10,00;10;1 STELLA;hotel venezia;1,00;1;17,00;17;Hotel
VIA;LAMBRATE;9,00;2421.0;3,00;67,00;"3;2;8;9;9;9;7;6;10;4";3 STELLE;pian della nave;9,00;"T;R;1;2;3;4;5;6;7;8";200,00;"8;6;24;27;27;27;21;18;30;12";Residence
VIA;LAMPEDUSA;11,00;5329.0;5,00;328,00;328;4 STELLE;atahotel quark;1,00;1;736,00;736;Hotel
VIA;LAMPEDUSA;11,00;not specified;5,00;106,00;"17;4";4 STELLE;quark due;7,00;"1;2;3;4;5;6;7";229,00;"36;13";Residence
VIA;LARIO;40,00;1171.0;9,00;7,00;0;1 STELLA;albergo lario;1,00;1;17,00;0;Hotel
VIA;LAZZARETTO;10,00;2112.0;3,00;11,00;11;1 STELLA;merano;1,00;1;25,00;25;Hotel
VIA;LAZZARETTO;17,00;2112.0;2,00;9,00;9;1 STELLA;pensione eva;2,00;"1;2";20,00;20;Hotel
VIA;LAZZARETTO;17,00;2112.0;2,00;10,00;9;1 STELLA;arno;1,00;4;16,00;14;Hotel
VIA;LAZZARETTO;5,00;2112.0;2,00;103,00;0;4 STELLE;nh machiavelli;1,00;1;203,00;0;Hotel
VIA;LENTASIO;3,00;410.0;1,00;64,00;"18;18;14;10;3";4 STELLE;ascot;5,00;"1;2;3;4;5";99,00;"24;24;22;17;6";Hotel
VIA;LEPETIT ROBERTO;15,00;2096.0;2,00;48,00;"3;9;9;9;9;9";4 STELLE;colombia;6,00;"R;1;2;3;4;5";81,00;"4;16;16;16;15;14";Hotel
VIA;LEPETIT ROBERTO;33,00;2096.0;2,00;57,00;"12;12;11;10;8";3 STELLE;florida;5,00;"1;2;3;4;5";98,00;"20;20;20;18;16";Hotel
VIA;LEPETIT ROBERTO;7,00;2096.0;2,00;25,00;"6;7;7;5";1 STELLA;boston;4,00;"1;2;3;4";41,00;"9;10;11;5";Hotel
VIA;LEPONTINA;8,00;1147.0;9,00;60,00;"25;20;15";3 STELLE;mirage tre;3,00;"1;2;3";82,00;"36;31;15";Residence
VIA;LIPPI FILIPPINO;28,00;2196.0;3,00;22,00;22;2 STELLE;hotel gran sasso;1,00;1;39,00;39;Hotel
VIA;LIPPI FILIPPINO;43,00;2196.0;3,00;7,00;"2;3;2";1 STELLA;ischia;3,00;"1;2;3";12,00;"4;5;3";Hotel
VIA;LIPPI FILIPPINO;50,00;2196.0;3,00;10,00;"2;3";2 STELLE;hotel trentina;3,00;"T;1;2";20,00;"4;2";Hotel
VIA;LODOVICO IL MORO;117,00;5290.0;6,00;51,00;0;4 STELLE;hotel cà bianca corte del naviglio;1,00;1;102,00;0;Hotel
VIA;LOMBARDI RICCARDO;11,00;6893.0;7,00;75,00;0;4 STELLE;hotel silver;1,00;1;150,00;0;Hotel
VIA;LUDOVICO DI BREME;77,00;7396.0;8,00;240,00;0;4 STELLE;double tree by hilton milan;1,00;1;480,00;0;Hotel
VIA;LULLI GIOVANNI;11,00;2253.0;3,00;22,00;22;1 STELLA;hotel loris;1,00;1;25,00;25;Hotel
VIA;LULLI GIOVANNI;18,00;2253.0;3,00;9,00;0;1 STELLA;hotel new milano;3,00;"1;2;3";16,00;0;Hotel
VIA;LULLI GIOVANNI;22,00;2253.0;3,00;11,00;"0;0";2 STELLE;astrid;2,00;";";23,00;"0;0";Hotel
VIA;LULLI GIOVANNI;4,00;2253.0;3,00;9,00;9;1 STELLA;hotel viola;1,00;1;14,00;14;Hotel
VIA;MACCHI MAURO;1,00;2133.0;2,00;52,00;"13;13;13;13";4 STELLE;hotel mediolanum;4,00;"1;2;3;4";93,00;"25;25;25;23";Hotel
VIA;MACCHI MAURO;49,00;2133.0;2,00;22,00;"2;4;4;4;4;4";4 STELLE;r.t.a. le gare;6,00;"T;1;2;3;4;5";67,00;"7;12;12;12;12;12";Hotel
VIA;MACCHI MAURO;79,00;2133.0;2,00;31,00;31;4 STELLE;residenza delle citta;1,00;1;93,00;93;Residence
VIA;MAC MAHON;45,00;7221.0;8,00;24,00;24;2 STELLE;hotel mac mahon;1,00;1;44,00;44;Hotel
VIA;MANIN DANIELE;7,00;1052.0;1,00;119,00;"16;17;17;17;18;16;18";4 STELLE;hotel manin;7,00;"1;2;3;4;5;6;7";183,00;"23;26;25;25;26;28;30";Hotel
VIA;MANZONI ALESSANDRO;29,00;230.0;1,00;102,00;"20;22;26;12";5 STELLE LUSSO;grand hotel et de milan;5,00;"1;2;3;4;5";158,00;"31;33;32;38;24";Hotel
VIA;MANZONI ALESSANDRO;31,00;230.0;1,00;95,00;95;5 STELLE LUSSO;ARMANI HOTEL MILANO;1,00;1;190,00;190;Hotel
VIA;MARCELLO BENEDETTO;47,00;2128.0;3,00;10,00;0;2 STELLE;hotel due giardini;1,00;1;21,00;0;Hotel
VIA;MARCELLO BENEDETTO;59,00;2128.0;3,00;16,00;"1;6;6;5";2 STELLE;hotel rallye;4,00;"T;1;2;3";25,00;"2;9;9;5";Hotel
VIA;MARCELLO BENEDETTO;83,00;2128.0;3,00;28,00;"3;8;8";2 STELLE;hotel the best;3,00;"T;1;2";56,00;"6;10;9";Hotel
VIA;MARCO D'AGRATE;35,00;4276.0;5,00;52,00;"4;8;8;8;8;8;8";3 STELLE;hotel rex;7,00;"R;1;2;3;4;5;6";104,00;"8;16;16;16;16;16;16";Hotel
VIA;MARCO POLO;13,00;1103.0;9,00;27,00;0;2 STELLE;hotel trieste;1,00;1;62,00;0;Hotel
VIA;MARGHERA;14,00;6280.0;7,00;20,00;20;2 STELLE;pensione fiorella;1,00;1;35,00;35;Hotel
VIA;MARGHERA;2,00;6280.0;7,00;50,00;"16;6;12";3 STELLE;hotel nuovo marghera;4,00;"1;3;2";76,00;"29;12;22";Hotel
VIA;MASACCIO;19,00;6420.0;8,00;288,00;0;5 STELLE;melia  milano;1,00;1;487,00;0;Hotel
VIA;MAZZINI GIUSEPPE;10,00;516.0;1,00;14,00;14;3 STELLE;HOTEL LA MADONNINA;1,00;1;25,00;25;Hotel
VIA;MAZZINI GIUSEPPE;4,00;516.0;1,00;38,00;38;4 STELLE;hotel sir edward;1,00;1;70,00;70;Hotel
VIA;MAZZINI GIUSEPPE;8,00;516.0;1,00;42,00;"8;7;7;7;7;7";3 STELLE;rio;6,00;"1;2;3;4;5;6";61,00;"10;11;11;11;11;7";Hotel
VIA;MECENATE;121,00;3323.0;4,00;208,00;208;4 STELLE;novotel milano linate aeroporto;1,00;1;416,00;416;Hotel
VIA;MELLONI MACEDONIO;17,00;3085.0;4,00;16,00;16;3 STELLE;residencemignoncase tre;1,00;1;26,00;26;Residence
VIA;MERCATO;1,00;717.0;1,00;14,00;"5;7";1 STELLA;STYLE HOTEL;2,00;"1;2";25,00;"8;12";Hotel
VIA;MESSINA;10,00;7211.0;8,00;131,00;0;4 STELLE;hotel hermitage;1,00;1;262,00;0;Hotel
VIA;MODENA GUSTAVO;20,00;3122.0;3,00;17,00;0;1 STELLA;brasil;1,00;1;25,00;0;Hotel
VIA;MODENA GUSTAVO;4,00;3122.0;3,00;37,00;"1;7;7;7;7;4;4";4 STELLE;residence international;7,00;"T;1;2;3;4;5;6";59,00;"1;11;11;11;11;7;7";Residence
VIA;MOLINO DELLE ARMI;1,00;591.0;1,00;17,00;0;4 STELLE;petit palais;1,00;1;23,00;0;Residence
VIA;MONETA;1,00;570.0;1,00;33,00;33;3 STELLE;gran duca di york;1,00;1;60,00;60;Hotel
VIA;MONTE ROSA;90,00;6388.0;8,00;44,00;"10;17";4 STELLE;montebianco;3,00;"T;1;2";79,00;"16;25";Hotel
VIA;MONTESSORI MARIA;14,00;3361.0;4,00;56,00;"10;9;9;9;9;9";4 STELLE;residence futura;6,00;"1;2;3;4;5;6";133,00;"24;22;22;21;21;20";Residence
VIA;MORIGI;2,00;633.0;1,00;32,00;"7;7;6;6;6;6";4 STELLE;hotel mentana;6,00;"1;2;3;4;5;6";48,00;"10;10;10;9;9;9";Hotel
VIA;MURAT GIOACCHINO;21,00;1316.0;9,00;133,00;";;;;";4 STELLE;contessa jolanda- attività promiscua 133 appartamenti (266 posti letto) e 9 camere albergo per 18 posti letto per un totale di 284 posti letto;8,00;"4;5;3;7;2";266,00;";;;;";Residence
VIA;MURATORI LODOVICO;14,00;4076.0;4,00;93,00;0;4 STELLE;una hotel mediterraneo;1,00;1;206,00;0;Hotel
VIA;MURATORI LODOVICO;5,00;4076.0;4,00;24,00;"7;7;7;3";3 STELLE;residence l m5;4,00;"1;2;3;4";48,00;"14;14;14;6";Residence
VIA;NICOTERA GIOVANNI;9,00;1508.0;9,00;41,00;41;4 STELLE;acca palace;1,00;1;82,00;82;Residence
VIA;NOVARA;371,00;6624.0;7,00;18,00;0;2 STELLE;hotel san siro fiera;1,00;1;33,00;0;Hotel
VIA;OLGETTINA;60,00;2530.0;3,00;216,00;216;3 STELLE;hotel rafael;1,00;1;439,00;439;albergo
VIA;ORNATO LUIGI;64,00;1591.0;9,00;144,00;"93;51";3 STELLE;centro alberghiero ornato;2,00;"1;2";252,00;"141;80";Hotel
VIA;ORSEOLO PIETRO;1,00;5113.0;6,00;59,00;59;4 STELLE;Non Specificato;1,00;1;101,00;101;Hotel
VIA;ORSEOLO PIETRO;1,00;5113.0;6,00;59,00;59;4 STELLE;MERCURE HOTEL;1,00;1;101,00;101;Non Specificato
VIA;OSIMO AUGUSTO;10,00;4303.0;4,00;64,00;0;4 STELLE;corvetto residence porto di mare;1,00;1;200,00;0;Residence
VIA;OZANAM FEDERICO;12,00;2143.0;3,00;40,00;"3;8;7;6";3 STELLE;hotel napoleon;6,00;"T;1;2;3;4;5";68,00;"5;13;12;11";Hotel
VIA;PAGANINI NICCOLO';6,00;2238.0;3,00;8,00;8;1 STELLA;hotel paganini;1,00;1;23,00;23;Hotel
VIA;PAGANINI NICCOLO';7,00;2238.0;3,00;18,00;18;3 STELLE;HOTEL DORE';1,00;1;39,00;39;Hotel
VIA;PALADINI ETTORE;7,00;3236.0;3,00;63,00;"8;7;4";3 STELLE;residence bianca croce;9,00;"R;1;2;3;4;5;6;7;8";115,00;"14;13;5";Residence
VIA;PALAZZI LAZZARO;18,00;2171.0;3,00;79,00;"3;15;15;15;11;4;0";4 STELLE;hotel sanpi;6,00;"T;1;2;3;4;5;";160,00;"6;26;26;26;25;10;0";Hotel
VIA;PALLADIO ANDREA;8,00;4213.0;5,00;48,00;"7;2;10;5;11;4";1 STELLA;albergo palladio;7,00;"T;1;2;3;4;5;6";82,00;"11;3;18;10;4";Hotel
VIA;PALMIERI NICOLA;64,00;5323.0;5,00;23,00;23;3 STELLE;hotel autosole 2;1,00;1;46,00;46;Hotel
VIA;PANIZZA BARTOLOMEO;5,00;6208.0;7,00;16,00;0;3 STELLE;hotel panizza;1,00;1;32,00;0;Hotel
VIA;PANTANO;8,00;334.0;1,00;38,00;0;4 STELLE;residence vip s;1,00;1;99,00;0;Residence
VIA;PAPI LAZZARO;18,00;4071.0;4,00;36,00;"2;3;10;10;10";3 STELLE;hotel di porta romana;5,00;"1;3;4;5;6";67,00;"3;5;14;14;14";Hotel
VIA;PECCHIO GIUSEPPE;2,00;2240.0;3,00;26,00;0;4 STELLE;hotel del corso;1,00;1;45,00;0;Hotel
VIA;PELLIZZONE ANDREA;12,00;3314.0;3,00;34,00;"4;6;12;6;6";3 STELLE;majorca;5,00;"T;1;2;3;4";53,00;"9;10;18;10;6";Hotel
VIA;PERUGINO;12,00;3198.0;4,00;32,00;"5;6;6;6";3 STELLE;hotel perugino;4,00;"1;2;3;4";54,00;"7;7;10;10";Hotel
VIA;PESTALOZZA ALESSANDRO;28,00;2248.0;3,00;13,00;"2;4;4;3";2 STELLE;hotel piola;4,00;"T;1;2;3";25,00;"3;8;8;6";Hotel
VIA;PIACENZA;4,00;4064.0;5,00;24,00;"3;21";3 STELLE;hotel piacenza;2,00;"R;1";34,00;"4;30";Hotel
VIA;PICCINNI NICOLA;25,00;2236.0;3,00;11,00;11;1 STELLA;hotel san marco;1,00;1;24,00;24;Hotel
VIA;PIERLUIGI GIOVANNI DA PALESTRINA;30,00;not specified;2,00;45,00;"20;19;6";2 STELLE;hotel virgilio;3,00;"5;6;7";63,00;"32;25;6";Hotel
VIA;PIERO DELLA FRANCESCA;39,00;7188.0;8,00;24,00;7;3 STELLE;hotel losanna;1,00;2;47,00;10;Hotel
VIA;PIERO DELLA FRANCESCA;48,00;7188.0;8,00;25,00;"5;8;8;4";2 STELLE;hotel parma;4,00;"R;1;2;3";40,00;"6;22;22;4";Hotel
VIA;PIERO DELLA FRANCESCA;60,00;7188.0;8,00;31,00;0;3 STELLE;piccolo hotel;1,00;1;53,00;0;Hotel
VIA;PIERO DELLA FRANCESCA;4,00;not specified;8,00;10,00;0;2 STELLE;locanda gelsomina;1,00;1;25,00;0;Hotel
VIA;PIRELLI GIOVANNI BATTISTA;5,00;1195.0;2,00;10,00;0;2 STELLE;hotel stazione;1,00;1;23,00;0;Hotel
VIA;PIRELLI GIOVANNI BATTISTA;5,00;1195.0;2,00;69,00;"10;16;16;16;13";3 STELLE;hotel new york;5,00;"2;3;4;5;6";132,00;"15;29;29;29;16";Hotel
VIA;PIRELLI GIOVANNI BATTISTA;7,00;1195.0;2,00;52,00;0;4 STELLE;auriga;1,00;1;91,00;0;Hotel
VIA;PLINIO CAIO SECONDO;22,00;2144.0;3,00;14,00;14;1 STELLA;ambrosiana;1,00;1;22,00;22;Hotel
VIA;PLINIO CAIO SECONDO;22,00;2144.0;3,00;16,00;0;1 STELLA;ambrosiana;1,00;1;22,00;0;Hotel
VIA;PLINIO CAIO SECONDO;2,00;2144.0;3,00;43,00;"7;7;7;11;4";3 STELLE;hotel demidoff;5,00;"1;2;3;4;5";65,00;"10;10;10;16;4";Hotel
VIA;POERIO CARLO;32,00;3181.0;3,00;13,00;"2;5;5;2";1 STELLA;albergo poerio;4,00;"T;1;2;3";20,00;"4;7;7;2";Hotel
VIA;POLA;4,00;1156.0;2,00;39,00;39;4 STELLE;residence pola;1,00;1;52,00;52;Residence
VIA;POLIZIANO;11,00;7196.0;8,00;100,00;"16;16;16;16;11;11;7;7";4 STELLE;hotel poliziano fiera;8,00;"1;2;3;4;5;6;7;8";204,00;"32;32;32;32;22;22;16;16";Hotel
VIA;POLONIA;10,00;7505.0;8,00;162,00;162;4 STELLE;the hub;1,00;1;306,00;306;Hotel
VIA;POMPONAZZI PIETRO;3,00;5246.0;5,00;7,00;7;3 STELLE;residenza chiaralba;1,00;1;14,00;14;Residence
VIA;PONTE SEVESO;38,00;1203.0;2,00;47,00;0;3 STELLE;hotel terminal;1,00;1;95,00;0;Hotel
VIA;PORLEZZA;4,00;611.0;1,00;36,00;0;3 STELLE;hotel genius down town;1,00;1;60,00;0;Hotel
VIA;PORPORA NICOLA ANTONIO;132,00;2229.0;3,00;7,00;7;1 STELLA;hotela alba;1,00;1;12,00;12;Hotel
VIA;PORPORA NICOLA ANTONIO;143,00;2229.0;3,00;10,00;0;1 STELLA;hotel chopin;1,00;1;21,00;0;Hotel
VIA;PORPORA NICOLA ANTONIO;16,00;2229.0;3,00;10,00;"3;4";1 STELLA;paola;3,00;"R;1;2";24,00;"4;7";Hotel
VIA;PORPORA NICOLA ANTONIO;170,00;2229.0;3,00;11,00;"1;4";2 STELLE;albergo iride;3,00;"T;1;2";19,00;"2;7";Hotel
VIA;PORPORA NICOLA ANTONIO;18,00;2229.0;3,00;11,00;"3;4;4";2 STELLE;hotel nizza;3,00;"R;1;2";23,00;"4;7;6";Hotel
VIA;PORPORA NICOLA ANTONIO;52,00;2229.0;3,00;10,00;"3;3;2";1 STELLA;pensione oriente;3,00;"T;1;2";19,00;"6;6;3";Hotel
VIA;PORPORA NICOLA ANTONIO;56,00;2229.0;3,00;18,00;"4;6;2";3 STELLE;hotel etrusco;4,00;"R;1;2;3";21,00;"4;7;3";Non Specificato
VIA;PORPORA NICOLA ANTONIO;87,00;2229.0;3,00;18,00;18;1 STELLA;hotel ca  grande;1,00;1;21,00;21;Hotel
VIA;PORRO EDOARDO;8,00;1226.0;9,00;13,00;13;3 STELLE;hotel ares;1,00;1;21,00;21;Hotel
VIA;PRATI GIOVANNI;6,00;7149.0;8,00;31,00;"1;10;10;10";3 STELLE;hotel johnny;4,00;"T;1;2;3";69,00;"2;16;36;36";Hotel
VIA;PRINCIPE EUGENIO;45,00;7223.0;8,00;10,00;10;2 STELLE;mary hotel fiera;1,00;1;25,00;25;Hotel
VIA;QUARNERO;4,00;6263.0;7,00;11,00;"1;5;5";1 STELLA;amalfi;3,00;"R;1;2";24,00;"3;8;9";Hotel
VIA;RANCATI ILARIONE;3,00;2321.0;2,00;45,00;"9;9;9;9;9";3 STELLE;residence loreto;5,00;"1;2;3;4;5";80,00;"16;16;16;16;16";Residence
VIA;REINA FRANCESCO;18,00;3255.0;4,00;11,00;11;1 STELLA;san giovanni;1,00;1;20,00;20;Hotel
VIA;RENZO E LUCIA;14,00;5412.0;5,00;53,00;53;3 STELLE;hotel dei fiori;3,00;"1;2;3";108,00;108;Hotel
VIA;RICORDI GIOVANNI;10,00;2251.0;3,00;23,00;"4;8;4;4;3";3 STELLE;hotel adler;5,00;"T;1;2;3;4";43,00;"8;13;5;5;4";Hotel
VIA;RICORDI GIOVANNI;14,00;2251.0;3,00;9,00;9;1 STELLA;pensione cuba;1,00;1;14,00;14;Hotel
VIA;RICORDI GIOVANNI;20,00;2251.0;3,00;15,00;"3;4;4;4";1 STELLA;hotel malta;4,00;"R;1;2;3";24,00;"6;6;6;6";Hotel
VIA;RIPAMONTI GIUSEPPE;102,00;4066.0;5,00;18,00;0;2 STELLE;apollo;1,00;1;40,00;0;Hotel
VIA;RIPAMONTI GIUSEPPE;134,00;4066.0;5,00;28,00;28;2 STELLE;hotel liguria;1,00;1;51,00;51;Hotel
VIA;ROSSI PELLEGRINO;59,00;1510.0;9,00;21,00;0;1 STELLA;hotel salus;1,00;1;36,00;0;Hotel
VIA;ROVELLO;10,00;722.0;1,00;24,00;0;3 STELLE;hotel giulio cesare;1,00;1;34,00;0;Hotel
VIA;ROVELLO;3,00;722.0;1,00;29,00;"10;10;9";2 STELLE;hotel london;3,00;"1;2;3";49,00;"12;12;9";Hotel
VIA;RUBENS PIETRO;21,00;6597.0;7,00;87,00;"19;11";4 STELLE;hotel rubens;5,00;"1;2;3;4;5";150,00;"29;25";Hotel
VIA;RUTILIA;6,00;4229.0;5,00;23,00;"9;14";2 STELLE;hotel garden;2,00;"R;1";48,00;"13;27";Hotel
VIA;SACCHINI ANTONIO GASPARE;17,00;2252.0;3,00;18,00;"3;7;6";2 STELLE;sara;3,00;"T;1;2";36,00;"3;12;10";Hotel
VIA;SACCHINI ANTONIO GASPARE;19,00;2252.0;3,00;10,00;"1;5;4";1 STELLA;villa mira;3,00;"T;1;2";18,00;"2;8;8";Hotel
VIA;SALDINI CESARE;24,00;3206.0;3,00;45,00;45;3 STELLE;hotel citta  studi;1,00;1;79,00;79;Hotel
VIA;SAMMARTINI GIOVANNI BATTISTA;15,00;1202.0;2,00;17,00;17;1 STELLA;hotel central station;1,00;1;25,00;25;Hotel
VIA;SAMMARTINI GIOVANNI BATTISTA;15,00;1202.0;2,00;18,00;0;2 STELLE;hotel ada;1,00;1;25,00;0;Hotel
VIA;SANGIORGIO ABBONDIO;16,00;7138.0;1,00;30,00;0;3 STELLE;hotel lancaster;1,00;1;65,00;0;Hotel
VIA;SAN MAMETE;12,00;2413.0;2,00;13,00;13;1 STELLA;hotel convertini;1,00;1;28,00;28;Hotel
VIA;SAN RAFFAELE;3,00;207.0;1,00;64,00;0;4 STELLE;straf;1,00;1;118,00;0;Hotel
VIA;SAN RAFFAELE;6,00;207.0;1,00;21,00;0;5 STELLE;the gray;1,00;1;32,00;0;Hotel
VIA;SANTA MARIA FULCORINA;15,00;630.0;1,00;25,00;"7;7;7;4";3 STELLE;hotel nuovo biscione;4,00;"1;2;3;4";34,00;"10;10;10;4";Hotel
VIA;PELLICO SILVIO;8,00;not specified;1,00;18,00;0;1 STELLA;town house galleria;1,00;1;25,00;0;Hotel
VIA;SANTA SOFIA;10,00;408.0;1,00;158,00;158;4 STELLE;UPTOWN PALACE;1,00;1;318,00;318;Hotel
VIA;SANTA SOFIA;16,00;408.0;1,00;35,00;0;3 STELLE;hotel canada;1,00;1;78,00;0;Hotel
VIA;SAN TOMASO;8,00;723.0;1,00;11,00;11;4 STELLE;Non Specificato;1,00;1;22,00;22;Hotel
VIA;SARONNO;5,00;7202.0;8,00;15,00;"4;4;4;2";1 STELLA;hotel mignon;4,00;"1;2;3;4";24,00;"6;6;6;2";Hotel
VIA;SCARLATTI DOMENICO;22,00;2136.0;3,00;104,00;104;3 STELLE;hotel cristallo;1,00;1;223,00;223;Hotel
VIA;SCARLATTI DOMENICO;24,00;2136.0;2,00;78,00;"3;22;21;22;22";4 STELLE;andreola;5,00;"T;1;2;3;4";155,00;"4;34;34;33;33";Hotel
VIA;SCARLATTI DOMENICO;32,00;2136.0;2,00;68,00;68;4 STELLE;hotel bristol;1,00;1;116,00;116;Hotel
VIA;SCARLATTI DOMENICO;33,00;2136.0;2,00;305,00;"10;37;25;25;27;27;14;14;14;14";4 STELLE;hotel michelangelo;17,00;"1;2;3;4;5;6;7;8;9;0";538,00;"15;68;33;40;48;48;26;26;26;26";Hotel
VIA;SCIALOIA VITTORIO;3,00;1086.0;9,00;60,00;0;3 STELLE;hotel la residenza;1,00;1;100,00;0;Hotel
VIA;SENATO;5,00;236.0;1,00;93,00;0;5 STELLE;carlton hotel baglioni;1,00;1;186,00;0;Hotel
VIA;SENIGALLIA;6,00;1708.0;9,00;298,00;"40;0;40;40;40;63;56;56;28";4 STELLE;leonardo da vinci;8,00;"1;;2;3;4;5;6;7;8";864,00;"118;0;118;118;118;130;130;130;64";Hotel
VIA;SENIGALLIA;6,00;1708.0;9,00;423,00;423;4 STELLE;il leonardo da vinci;1,00;1;922,00;922;Residence
VIA;SETTALA LODOVICO;56,00;2111.0;3,00;7,00;"1;4;2";1 STELLA;hotel da xin;3,00;"T;1;2";11,00;"2;6;3";Hotel
VIA;SETTALA LODOVICO;76,00;2111.0;3,00;20,00;"3;4";2 STELLE;hotel charly;3,00;"T;1;2";34,00;"6;8;4";Hotel
VIA;SFORZA ASCANIO;73,00;5201.0;5,00;15,00;"3;12";2 STELLE;hotel mercurio;2,00;"R;1";25,00;"6;19";Hotel
VIA;SFORZA ASCANIO;81,00;5201.0;5,00;15,00;15;2 STELLE;albergo marte;1,00;1;25,00;25;Hotel
VIA;SIGIERI GOFFREDO;3,00;4080.0;4,00;19,00;19;3 STELLE;residence sigieri;1,00;1;24,00;24;Residence
VIA;SILVA GUGLIELMO;12,00;6400.0;8,00;96,00;"0;12";4 STELLE;mini hotel portello;4,00;"1;2;3;4";202,00;"0;23;12";Hotel
VIA;SIRACUSA;5,00;4032.0;1,00;48,00;"6;6;6;4";4 STELLE;residence bocconi;4,00;"T;1;2;3";97,00;"15;31;31;17";Residence
VIA;SIRTE;9,00;6116.0;6,00;94,00;"7;8;8;8;8;8";3 STELLE;hotel des etranger s;6,00;"1;2;3;4;5;6";159,00;"13;14;14;14;14;13";Hotel
VIA;SIRTORI GIUSEPPE;24,00;2180.0;3,00;60,00;60;3 STELLE;eurohotel;1,00;1;101,00;101;Non Specificato
VIA;SOPERGA;19,00;2262.0;2,00;11,00;0;1 STELLA;hotel valley;1,00;1;22,00;0;Hotel
VIA;SOPERGA;24,00;2262.0;2,00;78,00;0;3 STELLE;hotel soperga;1,00;1;134,00;0;Non Specificato
VIA;SOTTOCORNO PASQUALE;8,00;3152.0;4,00;13,00;13;2 STELLE;hotel dover;1,00;1;24,00;24;Hotel
VIA;SPADARI;11,00;518.0;1,00;40,00;"7;7;6;6;5;5;4";4 STELLE;spadari al duomo;7,00;"1;2;3;4;5;6;7";99,00;"15;15;14;14;11;9;7";Hotel
VIA;SPALLANZANI LAZZARO;27,00;2153.0;3,00;28,00;28;3 STELLE;hotel teco;1,00;1;80,00;80;Non Specificato
VIA;SPALLANZANI LAZZARO;40,00;2153.0;3,00;207,00;"24;29;9";4 STELLE;starhotels ritz;8,00;"1;2;3;4;5;6;7;8";386,00;"44;54;18";Hotel
VIA;SPEZIA;25,00;5268.0;5,00;76,00;0;4 STELLE;mini hotel la spezia;1,00;1;128,00;0;Hotel
VIA;SPINOLA AMBROGIO;9,00;6369.0;8,00;29,00;0;3 STELLE;HOTEL FIERA CONGRESSI;1,00;1;53,00;0;Hotel
VIA;SPONTINI GASPARE;6,00;2141.0;3,00;17,00;"0;6;6";1 STELLA;albergo del sole;2,00;";1;2";40,00;"0;19;19";Hotel
VIA;STAMIRA D'ANCONA;27,00;2337.0;2,00;167,00;167;4 STELLE;ramada plaza milano;1,00;1;334,00;334;albergo
VIA;TADINO ALESSANDRO;27,00;2109.0;3,00;22,00;"3;3;8;8";1 STELLA;hotel nettuno;4,00;"T;A;1;2";53,00;"6;6;12;12";Hotel
VIA;TARCHETTI IGINIO UGO;2,00;1060.0;1,00;282,00;0;4 STELLE;jolly touring;1,00;1;577,00;0;Hotel
VIA;TAZZOLI ENRICO;2,00;1118.0;9,00;160,00;0;4 STELLE;hotel ac milano;1,00;1;320,00;0;Hotel
VIA;TAZZOLI ENRICO;7,00;1118.0;9,00;35,00;23;4 STELLE;hotel hua xia milano;1,00;1;41,00;24;Hotel
VIA;TENCA CARLO;11,00;2118.0;2,00;27,00;0;3 STELLE;tencaresidence;1,00;1;92,00;0;Residence
VIA;TENCA CARLO;12,00;2118.0;2,00;19,00;19;1 STELLA;hotel verona;1,00;1;25,00;25;Hotel
VIA;TENCA CARLO;21,00;2118.0;2,00;52,00;0;4 STELLE;hotel mythos;1,00;1;79,00;0;Hotel
VIA;TEODOSIO;37,00;2550.0;3,00;8,00;0;1 STELLA;hotel galla;1,00;1;15,00;0;Hotel
VIA;TITO LIVIO;4,00;4086.0;4,00;40,00;0;3 STELLE;mec hotel;1,00;1;71,00;0;Hotel
VIA;TIZIANO VECELLIO;6,00;6380.0;8,00;54,00;"18;18;18";4 STELLE;mini hotel tiziano;3,00;"1;2;3";84,00;"34;25;25";Hotel
VIA;TOFFETTI VINCENZO;4,00;4188.0;4,00;26,00;"9;9;8";3 STELLE;hotel mistral;3,00;"1;2;3";49,00;"18;18;13";Hotel
VIA;TONALE;14,00;1213.0;2,00;28,00;"3;7";3 STELLE;hotel demo;3,00;"T;1;2";58,00;"4;11";Hotel
VIA;TONALE;2,00;1213.0;2,00;62,00;"15;15;15;13;4";3 STELLE;hotel albert;5,00;"1;2;3;4;5";102,00;"26;26;26;19;5";Hotel
