Tipo via;Descrizione via;Civico;Codice via;ZD;Camere;Camere piano;Categoria;Insegna;Piani totali;Piano piano;Posti letto;Posti letto per piano;Tipo attività struture extra
PIAZZA;CINQUE GIORNATE;6,00;3053.0;1,00;22,00;22;2 STELLE;hotel cinque giornate;1,00;1;48,00;48;Hotel
PIAZZA;DEL DUOMO;25,00;1.0;1,00;161,00;"29;30;50;38;22;2";4 STELLE;grand hotel duomo;7,00;"1;2;3;4;5;A";244,00;"42;46;62;60;31;3";Hotel
PIAZZA;DELLA REPUBBLICA;13,00;1055.0;2,00;99,00;"6;6;6;6;6;6;6;6;6;6";I;duca di milano;10,00;"1;2;3;4;5;6;7;8;9;0";189,00;"11;11;11;11;11;11;11;11;11;11";Hotel
PIAZZA;DELLA REPUBBLICA;17,00;1055.0;2,00;302,00;412;5 STELLE;HOTEL PRINCIPE DI SAVOIA;1,00;1;725,00;812;Hotel
PIAZZA;DELLA REPUBBLICA;17,00;1055.0;2,00;313,00;"48;50;41;41;41;43;10;10;10";I;hotel principe di savoia;9,00;"1;2;3;4;5;6;7;8;9";623,00;"76;81;71;71;85;70;18;18;18";Hotel
PIAZZA;DELLA REPUBBLICA;20,00;1055.0;2,00;228,00;"6;28;29;26;24;13";I;the westin palace;10,00;"A;1;2;3;4;5;6;7;8;9";441,00;"11;48;43;37;22;20";Hotel
PIAZZA;DUCA D'AOSTA;16,00;1200.0;2,00;63,00;9;3 STELLE;mini hotel aosta;7,00;"1;2;3;4;5;6;7";110,00;"15;16";Hotel
PIAZZA;DUCA D'AOSTA;9,00;1200.0;2,00;243,00;"45;42;43;43;43;47";1 STELLA;hotel execelsior gallia;8,00;"1;2;3;4;5;6";448,00;"79;71;73;74;69;67";Hotel
PIAZZA;FONTANA;3,00;308.0;1,00;327,00;"45;43;45;41;6;1";4 STELLE;starhotels rosa grand;6,00;"1;2;3;4;5;6";650,00;"78;76;74;64;10;1";Hotel
PIAZZA;GERUSALEMME;12,00;7201.0;8,00;15,00;0;4 STELLE;town house 12;1,00;1;23,00;0;Hotel
